City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Mount Hagen,PG,2021-12-04 08:54:32,-5.8581,144.2274,61.86,98,85,3.33
129,Kaitangata,NZ,2021-12-04 08:54:33,-46.2817,169.8464,59.5,96,66,6.02
130,Srandakan,ID,2021-12-04 08:54:33,-7.9386,110.2506,64.72,81,100,10.25
131,Ushtobe,KZ,2021-12-04 08:54:34,45.2514,77.9838,47.62,54,100,11.88
132,Camacha,PT,2021-12-04 08:54:34,33.0833,-16.3333,61.56,67,75,12.66
133,Kapaa,US,2021-12-04 08:54:35,22.0752,-159.319,71.58,68,90,1.01
134,At-Bashi,KG,2021-12-04 08:54:35,41.1702,75.8106,31.73,61,100,0.34
135,Kalemie,CD,2021-12-04 08:55:35,-5.9475,29.1947,81.81,51,84,9.64
136,Faanui,PF,2021-12-04 08:55:36,-16.4833,-151.75,81.19,69,9,17.9
137,Port Hedland,AU,2021-12-04 08:55:36,-20.3167,118.5667,100.45,27,4,19.57
138,Loncoche,CL,2021-12-04 08:55:36,-39.3667,-72.6333,40.78,92,0,3.71
139,Bien Hoa,VN,2021-12-04 08:53:01,10.95,106.8167,82.38,60,94,3.76
140,Vestmanna,FO,2021-12-04 08:55:37,62.1564,-7.1664,32.92,86,75,2.3
141,Chokurdakh,RU,2021-12-04 08:55:37,70.6333,147.9167,-33.97,97,98,8.21
142,Chipinge,ZW,2021-12-04 08:55:38,-20.1883,32.6236,92.32,24,69,5.14
143,La Romana,DO,2021-12-04 08:55:38,18.4273,-68.9728,78.53,85,95,9.55
144,Lao Cai,VN,2021-12-04 08:55:39,22.4833,103.95,70.41,52,90,2.21
145,Cassia,BR,2021-12-04 08:55:39,-20.5831,-46.9219,64.22,93,14,6.91
146,Kudahuvadhoo,MV,2021-12-04 08:55:40,2.6708,72.8944,82.2,76,19,10.42
147,Iacobeni,RO,2021-12-04 08:55:40,47.4333,25.3167,28.04,75,26,3.29
148,Xiangxiang,CN,2021-12-04 08:55:40,27.7333,112.5333,61.97,32,99,2.62
149,Huilong,CN,2021-12-04 08:55:41,31.8111,121.655,60.04,52,62,5.41
150,Jumla,NP,2021-12-04 08:55:41,29.2747,82.1838,60.71,38,0,5.46
151,Araouane,ML,2021-12-04 08:55:41,18.9048,-3.5265,71.08,18,26,16.82
152,Tuatapere,NZ,2021-12-04 08:55:42,-46.1333,167.6833,60.17,91,72,4.07
153,Saint-Augustin,CA,2021-12-04 08:55:42,51.226,-58.6502,17.62,60,100,21.68
154,Ahipara,NZ,2021-12-04 08:55:43,-35.1667,173.1667,64.38,92,100,5.3
155,Byron Bay,AU,2021-12-04 08:55:43,-28.65,153.6167,70.05,86,60,9.46
156,Sao Jose Da Coroa Grande,BR,2021-12-04 08:52:12,-8.8978,-35.1478,78.49,83,46,9.31
157,Bilibino,RU,2021-12-04 08:55:44,68.0546,166.4372,-23.26,99,100,5.59
158,Bulata,PH,2021-12-04 08:55:44,9.8599,122.4016,81.19,77,61,20.74
159,Kieta,PG,2021-12-04 08:55:44,-6.2167,155.6333,81.05,81,75,1.48
160,Breves,BR,2021-12-04 08:55:45,-1.6822,-50.4803,74.23,96,100,4.54
161,Ahuimanu,US,2021-12-04 08:55:45,21.4447,-157.8378,71.31,64,75,18.41
162,Yar-Sale,RU,2021-12-04 08:55:46,66.8333,70.8333,-8.39,96,100,10.94
163,Bondo,CD,2021-12-04 08:55:46,3.8146,23.6866,89.04,48,81,2.28
164,Saint-Philippe,RE,2021-12-04 08:55:46,-21.3585,55.7679,89.11,72,11,13.22
165,Karratha,AU,2021-12-04 08:55:47,-20.7377,116.8463,95.45,33,35,22.44
166,Qaanaaq,GL,2021-12-04 08:55:47,77.484,-69.3632,3.4,74,23,6.96
167,Paka,MY,2021-12-04 08:55:48,4.6374,103.4368,84.13,74,40,8.05
168,Lebu,CL,2021-12-04 08:55:48,-37.6167,-73.65,50.5,91,8,14.81
169,Nashua,US,2021-12-04 08:51:19,42.7654,-71.4676,29.73,69,1,0.0
170,Domingos Martins,BR,2021-12-04 08:55:49,-20.3633,-40.6592,63.61,98,85,1.48
