City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
587,San Antero,CO,78.96,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
589,Sri Aman,MY,81.27,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
593,Lakes Entrance,AU,75.16,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
597,Dickinson,US,76.15,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
604,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
605,Camapua,BR,76.96,broken clouds,-19.5314,-54.0439,Comercial Estrela
612,Pedana,IN,86.18,clear sky,16.2667,81.1667,Sai Durga Hotel
615,Dalmau,IN,78.76,few clouds,26.0667,81.0333,Tripathi Hotel
617,Riohacha,CO,77.65,broken clouds,11.5444,-72.9072,Hotel Taroa
619,Porto Novo,BJ,77.74,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
622,Takoradi,GH,78.85,light rain,4.8845,-1.7554,Raybow International Hotel
623,Totness,SR,76.24,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
636,Port Augusta,AU,83.71,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
639,Sundumbili,ZA,83.66,broken clouds,-29.1337,31.3975,The Plover Bed and Breakfast
640,Warri,NG,77.77,overcast clouds,5.5167,5.75,BON Hotel Delta
642,Sompeta,IN,77.97,overcast clouds,18.9333,84.6,Netaji's Home
648,Eyl,SO,81.14,clear sky,7.9803,49.8164,Amiin Hotel
649,Ternate,ID,83.12,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
650,Sola,VU,79.93,broken clouds,-13.8833,167.55,Leumerus Bungalows
654,Vanimo,PG,84.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
657,Thanh Hoa,VN,76.73,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
664,Alugan,PH,80.17,scattered clouds,12.2188,125.4808,JM Lodge
665,Kieta,PG,82.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
666,Cap Malheureux,MU,83.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
669,Diglur,IN,81.43,clear sky,18.55,77.6,YASIN DEGLOOR
673,Matara,LK,84.2,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
