City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
126,Simao,CN,22.7886,100.9748,67.84,51,73,2.95,broken clouds
127,Mangai,CD,-4.05,19.5333,69.93,95,100,0.98,overcast clouds
128,Srednekolymsk,RU,67.45,153.6833,-45.29,99,92,4.25,overcast clouds
129,Nanortalik,GL,60.1432,-45.2371,25.3,58,100,34.09,overcast clouds
130,Abu Samrah,SY,35.3029,37.1841,52.65,49,0,0.92,clear sky
131,Maloarkhangelsk,RU,52.4002,36.5033,24.69,81,99,7.25,overcast clouds
132,Gold Coast,AU,-28.0,153.4333,81.16,73,67,1.99,broken clouds
133,Hambantota,LK,6.1241,81.1185,86.34,84,40,2.3,scattered clouds
134,East London,ZA,-33.0153,27.9116,68.94,88,20,10.36,light rain
135,Geraldton,AU,-28.7667,114.6,84.61,42,0,25.32,clear sky
136,Severo-Kurilsk,RU,50.6789,156.125,35.31,85,90,16.93,overcast clouds
137,Grand-Santi,GF,4.25,-54.3833,72.36,99,100,1.14,overcast clouds
138,Banda Aceh,ID,5.5577,95.3222,83.8,71,67,8.05,broken clouds
139,Talcahuano,CL,-36.7167,-73.1167,54.7,92,0,6.76,clear sky
140,Mormugao,IN,15.4,73.8,78.94,66,24,4.99,few clouds
141,Xuddur,SO,4.1213,43.8894,78.1,55,16,15.73,few clouds
142,Grand Gaube,MU,-20.0064,57.6608,83.37,63,19,8.99,few clouds
143,Camacha,PT,33.0833,-16.3333,62.02,63,75,11.5,broken clouds
144,Qui Nhon,VN,13.7667,109.2333,69.01,92,98,14.23,overcast clouds
145,Platteville,US,42.7342,-90.4785,34.48,80,75,24.16,broken clouds
146,Antipino,RU,57.1068,65.7576,21.54,89,100,3.13,overcast clouds
147,Novoseleznevo,RU,55.6821,69.2056,25.86,95,100,2.66,overcast clouds
148,Davila,PH,18.4726,120.5763,80.58,75,94,21.21,overcast clouds
149,Kaduna,NG,10.5222,7.4383,65.62,25,65,8.37,broken clouds
150,Hithadhoo,MV,-0.6,73.0833,81.46,78,96,12.55,overcast clouds
151,Souillac,MU,-20.5167,57.5167,83.35,65,40,13.8,scattered clouds
152,Mutis,CO,6.2262,-77.4044,76.96,92,99,7.43,moderate rain
153,Haines Junction,CA,60.7522,-137.5108,-1.01,100,100,1.88,overcast clouds
154,Sinnamary,GF,5.3833,-52.95,76.05,89,100,5.03,overcast clouds
155,Abbeville,FR,50.1,1.8333,40.5,93,76,6.13,broken clouds
156,Mandera,KE,3.9366,41.867,82.74,52,9,11.83,clear sky
157,Georgetown,MY,5.4112,100.3354,85.98,65,20,8.01,heavy intensity rain
158,Thunder Bay,CA,48.4001,-89.3168,28.56,92,90,18.41,snow
159,Antofagasta,CL,-23.65,-70.4,62.42,75,90,2.62,overcast clouds
160,Bac Lieu,VN,9.285,105.7244,82.98,64,66,4.76,broken clouds
161,Galle,LK,6.0367,80.217,83.64,70,61,4.0,broken clouds
162,Poum,NC,-20.2333,164.0167,82.49,73,26,16.04,scattered clouds
163,Yumen,CN,40.2833,97.2,30.52,38,75,2.37,broken clouds
164,Taoudenni,ML,22.6783,-3.9836,57.4,27,100,11.05,overcast clouds
165,Norman Wells,CA,65.282,-126.8329,-29.16,68,40,2.3,scattered clouds
166,Seoul,KR,37.5683,126.9778,52.99,37,0,2.3,clear sky
167,Dingle,PH,10.9995,122.6711,82.31,70,66,9.17,broken clouds
168,Priladozhskiy,RU,59.85,31.4833,-3.86,93,9,7.18,clear sky
169,Harper,LR,4.375,-7.7169,78.08,86,29,6.33,light rain
170,Nabire,ID,-3.3667,135.4833,91.35,58,84,9.04,broken clouds
171,Meadow Lake,US,34.8014,-106.5436,52.57,35,1,9.73,clear sky
172,Estepa,ES,37.2926,-4.879,41.79,86,2,0.87,clear sky
173,Miquelon,PM,47.0975,-56.3814,35.65,59,100,24.32,overcast clouds
174,Niquelandia,BR,-14.4739,-48.4597,68.79,95,10,0.54,clear sky
175,Tahta,EG,26.7693,31.5021,55.72,59,99,4.68,overcast clouds
176,Ndele,CF,8.4109,20.6473,77.67,31,95,1.45,overcast clouds
177,Butaritari,KI,3.0707,172.7902,82.02,78,98,15.01,light rain
178,Songjianghe,CN,42.1859,127.479,31.12,81,100,7.38,overcast clouds
179,Fortuna,US,40.5982,-124.1573,49.66,74,90,1.01,overcast clouds
180,Garowe,SO,8.4054,48.4845,74.26,49,18,10.25,few clouds
181,Gigmoto,PH,13.7796,124.39,81.12,69,89,11.79,overcast clouds
182,Quatre Cocos,MU,-20.2078,57.7625,83.08,66,9,13.96,clear sky
183,Teknaf,BD,20.8624,92.3058,82.78,70,53,9.98,broken clouds
184,Pevek,RU,69.7008,170.3133,-9.63,96,100,17.31,overcast clouds
185,Albania,AL,41.0,20.0,49.39,92,100,5.88,overcast clouds
186,Talnakh,RU,69.4865,88.3972,-14.8,99,100,13.73,light snow
187,Ardassa,GR,40.478,21.6341,45.32,91,100,6.76,overcast clouds
188,Alofi,NU,-19.0595,-169.9187,80.49,74,75,14.97,broken clouds
189,Makakilo City,US,21.3469,-158.0858,71.92,92,90,5.75,moderate rain
190,Svetlogorsk,BY,52.6333,29.7333,27.48,95,100,7.72,overcast clouds
191,Kloulklubed,PW,7.0419,134.2556,83.61,78,100,13.33,overcast clouds
192,Toronto,CA,43.7001,-79.4163,40.32,95,90,5.99,light rain
193,Gazojak,TM,41.1875,61.4036,44.74,67,90,13.35,overcast clouds
194,Shediac,CA,46.2198,-64.5411,19.45,79,40,3.44,scattered clouds
195,Mikuni,JP,36.2171,136.1519,49.91,86,100,2.17,overcast clouds
196,Khandyga,RU,62.6667,135.6,-16.82,99,100,2.68,overcast clouds
197,Umm Lajj,SA,25.0213,37.2685,73.71,51,39,9.98,scattered clouds
198,Costinesti,RO,43.95,28.6333,47.71,88,80,18.52,broken clouds
199,Tromso,NO,69.6496,18.957,17.62,67,40,4.0,scattered clouds
200,Narsaq,GL,60.9167,-46.05,18.77,76,85,15.95,overcast clouds
201,Rocha,UY,-34.4833,-54.3333,58.35,96,17,3.36,few clouds
202,Virginia Beach,US,36.8529,-75.978,53.65,91,90,3.44,overcast clouds
203,Tarakeswar,IN,22.885,88.0172,74.95,93,100,8.84,overcast clouds
204,Warrington,GB,53.3925,-2.5802,40.48,91,100,1.01,overcast clouds
205,Neftcala,AZ,39.3742,49.2472,54.55,69,67,12.91,broken clouds
206,Tacna,PE,-18.0056,-70.2483,59.22,91,96,1.52,overcast clouds
207,Kahului,US,20.8947,-156.47,74.84,95,75,25.32,heavy intensity rain
208,Tecpan,GT,14.7623,-90.9947,52.92,92,3,3.6,clear sky
209,Tarifa,ES,36.0139,-5.607,55.31,77,1,9.4,clear sky
210,Sitka,US,57.0531,-135.33,35.49,69,90,5.75,overcast clouds
211,Belyy Yar,RU,53.6039,91.3903,26.49,67,51,0.0,mist
212,Moranbah,AU,-22.0016,148.0466,91.51,32,39,12.17,scattered clouds
213,Agadez,NE,19.75,10.25,58.53,23,22,5.17,few clouds
